model,correlation,pvalue,predictor,feature
Linear,0.13462766234106452,0.04180933307683597,Accessibility,DCA Mutability Score
SVR-RBF,0.25810388261315875,7.762733180018366e-05,Accessibility,DCA Mutability Score
Linear,0.11477636120320414,0.08307632755665802,Accessibility,DCA Mutability Score
SVR-RBF,0.21407544057522404,0.0011153254894125393,Accessibility,DCA Mutability Score
Linear,0.09916668110533997,0.13375914575609665,Accessibility,DCA Mutability Score
SVR-RBF,0.14030337923039338,0.0334413812610594,Accessibility,DCA Mutability Score
Linear,0.06851387502788578,0.3019114698600846,Accessibility,DCA Mutability Score
SVR-RBF,0.15093807918081156,0.02232963629204658,Accessibility,DCA Mutability Score
Linear,0.19190813001713242,0.0035528844317360103,Accessibility,DCA Mutability Score
SVR-RBF,0.24229560310485673,0.00021403703994573903,Accessibility,DCA Mutability Score
Linear,0.07048765446159845,0.28816470119258036,Accessibility,DCA Mutability Score
SVR-RBF,0.20327568594786422,0.001990616306051985,Accessibility,DCA Mutability Score
Linear,0.18436723533749147,0.005130128198190088,Accessibility,DCA Mutability Score
SVR-RBF,0.24921303852355006,0.00013843770810623515,Accessibility,DCA Mutability Score
Linear,0.8177745270387203,0.0,Accessibility,Mean_Embedding
SVR-RBF,0.8911580427779677,0.0,Accessibility,Mean_Embedding
Linear,0.8088874821100227,0.0,Accessibility,Mean_Embedding
SVR-RBF,0.8898821478383016,0.0,Accessibility,Mean_Embedding
Linear,0.8101355150505306,0.0,Accessibility,Mean_Embedding
SVR-RBF,0.8872104599622661,0.0,Accessibility,Mean_Embedding
Linear,0.811934949420086,0.0,Accessibility,Mean_Embedding
SVR-RBF,0.8915537459229691,0.0,Accessibility,Mean_Embedding
Linear,0.8173158440146676,0.0,Accessibility,Mean_Embedding
SVR-RBF,0.8831055078410319,0.0,Accessibility,Mean_Embedding
Linear,0.8139111709142011,0.0,Accessibility,Mean_Embedding
SVR-RBF,0.8920274193543071,0.0,Accessibility,Mean_Embedding
Linear,0.8152975396202486,0.0,Accessibility,Mean_Embedding
